year,estimate
1946,0.0092
1947,0.0208
1948,0.0205
1949,0.0289
1950,0.0217
1951,0.0219
1952,0.0144
1953,0.0025
1954,0.0134
1955,0.0167
1956,0.0000
1957,0.0214
1958,0.0065
1959,0.0020
1960,0.0000
1961,0.0000
1962,0.0039
1963,0.0024
1964,0.0000
1965,0.0000
1966,0.0000
1967,0.0060
1968,0.0049
1969,0.0000
1970,0.0038
1971,0.0000
1972,0.0000
1973,0.0000
1974,0.0941
1975,0.2407
1976,0.0281
1977,0.0905
1978,0.0561
1979,0.0063
1980,0.1512
1981,0.0198
1982,0.0127
1983,0.0000
1984,0.0000
1985,0.0069
1986,0.0081
1987,0.0000
1988,0.0000
1989,0.0198
1990,0.0000
1991,0.0090
1992,0.0027
1993,0.0357
1994,0.0000
1995,0.0000
1996,0.0000
1997,0.0044
1998,0.0060
1999,0.0031
2000,0.0127
2001,0.0351
2002,0.0167
2003,0.0241
2004,0.0054
2005,0.0205
2006,0.0478
2007,0.0630
2008,0.0328
2009,0.0504
2010,0.0358
2011,0.0456
2012,0.0915
2013,0.0691
2014,0.0581
2015,0.0259
2016,0.0415
2017,0.0109
2018,0.0075
2019,0.0081
2020,0.0067
